ID,Name,Age,Department,Salary,Experience_Years,Performance_Score,Joining_Date
1102,Alice,29,Finance,75488,29,4.5,2010-04-12
1103,Grace,59,Sales,114441,6,1.0,2010-04-13
1104,Grace,33,Finance,114663,32,1.7,2010-04-14
1105,Hannah,45,Marketing,62431,29,2.6,2010-04-15
1106,Emma,49,Sales,101681,2,2.5,2010-04-16
1107,Charlie,29,Marketing,103483,23,1.9,2010-04-17
1108,Hannah,49,IT,89153,19,2.5,2010-04-18
1109,Frank,57,IT,46368,31,1.5,2010-04-19
1110,Charlie,47,HR,67424,5,2.7,2010-04-20
1111,Alice,29,Sales,85004,19,4.2,2010-04-21
1112,Charlie,49,Marketing,96985,34,2.9,2010-04-22
1113,Emma,49,Finance,90069,10,1.1,2010-04-23
1114,Charlie,58,IT,92326,25,2.7,2010-04-24
1115,Alice,57,IT,63398,2,1.1,2010-04-25
1116,Emma,48,Finance,90861,11,4.9,2010-04-26
1117,Jack,38,Marketing,115897,31,1.5,2010-04-27
1118,Grace,30,Marketing,108577,15,3.8,2010-04-28
1119,Grace,54,Sales,105641,9,4.9,2010-04-29
1120,Ian,41,Sales,49078,23,4.3,2010-04-30
1121,Jack,34,HR,65003,19,3.8,2010-05-01
1122,Jack,49,IT,102768,9,4.4,2010-05-02
1123,Charlie,50,Sales,91047,21,4.9,2010-05-03
1124,Grace,34,Marketing,111626,9,3.5,2010-05-04
1125,Alice,56,Finance,97660,28,3.2,2010-05-05
1126,David,27,Marketing,89786,7,3.5,2010-05-06
1127,David,39,IT,41925,16,3.1,2010-05-07
1128,Emma,26,Marketing,66015,16,3.5,2010-05-08
1129,Grace,46,HR,73320,33,2.8,2010-05-09
1130,Grace,23,IT,104881,4,1.9,2010-05-10
1131,David,31,Finance,66289,4,1.5,2010-05-11
1132,Grace,51,HR,43389,17,1.3,2010-05-12
1133,Charlie,26,IT,65683,29,2.1,2010-05-13
1134,Frank,54,Finance,53629,7,1.2,2010-05-14
1135,Bob,22,HR,101550,27,3.3,2010-05-15
1136,Jack,39,HR,64826,28,2.1,2010-05-16
1137,Ian,53,IT,66630,22,4.3,2010-05-17
1138,Emma,32,Sales,86163,14,1.3,2010-05-18
1139,Frank,42,HR,106435,7,1.9,2010-05-19
1140,David,47,HR,51653,22,3.9,2010-05-20
1141,Jack,46,Finance,67961,5,3.4,2010-05-21
1142,Grace,43,Marketing,114137,2,1.3,2010-05-22
1143,Ian,48,IT,73662,27,4.5,2010-05-23
1144,Grace,34,IT,96446,21,4.5,2010-05-24
1145,Alice,54,Sales,61288,15,2.3,2010-05-25
1146,Alice,55,Sales,76877,21,2.4,2010-05-26
1147,Ian,56,IT,55313,10,5.0,2010-05-27
1148,Ian,22,Sales,112715,23,3.5,2010-05-28
1149,David,42,Finance,50326,5,3.1,2010-05-29
1150,Ian,27,IT,41560,1,4.4,2010-05-30
1151,Charlie,49,Sales,119148,13,2.1,2010-05-31
1152,Grace,38,IT,66745,21,2.7,2010-06-01
1153,Frank,26,Marketing,71890,26,2.1,2010-06-02
1154,Hannah,52,HR,60022,21,4.2,2010-06-03
1155,Ian,26,IT,92579,18,3.3,2010-06-04
1156,Emma,59,HR,110316,32,3.6,2010-06-05
1157,Alice,24,Sales,68380,17,2.0,2010-06-06
1158,Charlie,44,HR,42356,11,1.9,2010-06-07
1159,Jack,58,IT,110326,21,3.0,2010-06-08
1160,Hannah,58,Marketing,60049,26,4.0,2010-06-09
1161,Frank,31,Sales,115717,4,3.1,2010-06-10
1162,Hannah,31,IT,56082,34,1.1,2010-06-11
1163,Ian,40,Sales,40661,18,4.5,2010-06-12
1164,David,38,Finance,77412,29,1.3,2010-06-13
1165,Alice,42,HR,42920,29,4.8,2010-06-14
1166,Alice,35,Finance,100315,21,1.1,2010-06-15
1167,Jack,30,IT,119561,13,3.8,2010-06-16
1168,David,22,Marketing,48946,17,1.3,2010-06-17
1169,Grace,34,Sales,85500,9,4.6,2010-06-18
1170,Bob,25,HR,56309,1,2.9,2010-06-19
1171,Charlie,22,Sales,95230,2,1.6,2010-06-20
1172,Alice,53,IT,70027,29,2.4,2010-06-21
1173,Emma,55,Sales,112541,33,1.7,2010-06-22
1174,Alice,49,HR,99321,10,1.7,2010-06-23
1175,Hannah,52,IT,40956,21,4.8,2010-06-24
1176,Alice,29,Sales,114131,28,2.8,2010-06-25
1177,Alice,47,Marketing,87908,11,4.2,2010-06-26
1178,Bob,55,IT,118339,34,3.6,2010-06-27
1179,Bob,24,IT,65963,8,3.7,2010-06-28
1180,Frank,33,Marketing,79443,22,1.5,2010-06-29
1181,Grace,22,Finance,79063,8,1.9,2010-06-30
1182,Emma,26,HR,44703,15,4.1,2010-07-01
1183,Alice,51,Finance,105128,17,4.9,2010-07-02
1184,Alice,51,Sales,112099,23,2.1,2010-07-03
1185,Charlie,38,Marketing,65849,24,2.1,2010-07-04
1186,Bob,44,Finance,71860,19,2.9,2010-07-05
1187,Emma,36,IT,71585,5,4.9,2010-07-06
1188,Jack,58,Sales,62015,32,2.1,2010-07-07
1189,Frank,42,Sales,117539,1,2.6,2010-07-08
1190,Grace,35,Finance,83585,23,4.6,2010-07-09
1191,David,23,Finance,66958,8,1.0,2010-07-10
1192,Grace,32,Marketing,66017,13,1.2,2010-07-11
1193,Hannah,59,HR,116707,8,3.4,2010-07-12
1194,Alice,55,Finance,85350,23,4.6,2010-07-13
1195,Frank,59,Finance,52201,1,2.0,2010-07-14
1196,Hannah,55,IT,69426,24,2.9,2010-07-15
1197,Emma,39,Sales,57778,24,2.8,2010-07-16
1198,David,51,HR,85241,17,2.9,2010-07-17
1199,Bob,36,IT,82229,5,3.5,2010-07-18
1200,Frank,48,Marketing,88364,20,2.9,2010-07-19
1201,Frank,55,Marketing,97056,21,2.8,2010-07-20
1202,Alice,59,Finance,67490,31,2.9,2010-07-21
1203,Ian,54,Finance,59975,11,3.4,2010-07-22
1204,Frank,45,Marketing,66723,15,3.1,2010-07-23
1205,Charlie,36,Finance,63279,19,4.4,2010-07-24
1206,David,51,HR,118301,7,1.2,2010-07-25
1207,David,38,Finance,51561,28,4.3,2010-07-26
1208,Charlie,26,Sales,106061,5,4.4,2010-07-27
1209,Jack,50,Finance,89153,5,2.1,2010-07-28
1210,Charlie,25,IT,73142,30,2.9,2010-07-29
1211,Charlie,31,HR,66916,32,2.8,2010-07-30
1212,David,38,IT,104324,8,1.9,2010-07-31
1213,Grace,31,IT,84965,10,2.6,2010-08-01
1214,David,38,Sales,44648,32,1.2,2010-08-02
1215,Ian,41,HR,75133,28,2.1,2010-08-03
1216,Alice,45,HR,90677,17,4.3,2010-08-04
1217,Hannah,26,HR,110135,31,2.1,2010-08-05
1218,Grace,55,HR,75046,8,4.3,2010-08-06
1219,Bob,27,HR,87064,25,3.1,2010-08-07
1220,Hannah,23,Sales,109350,9,4.5,2010-08-08
1221,Alice,34,Finance,85893,2,3.3,2010-08-09
1222,Ian,32,IT,101272,15,1.1,2010-08-10
1223,Ian,44,HR,107649,3,3.7,2010-08-11
1224,Bob,37,Finance,104674,4,1.2,2010-08-12
1225,Grace,52,Finance,53760,14,2.8,2010-08-13
1226,Jack,32,IT,61927,25,4.7,2010-08-14
1227,Charlie,37,Sales,101367,10,1.7,2010-08-15
1228,Grace,29,Marketing,52588,21,2.6,2010-08-16
1229,Jack,25,Marketing,92233,12,3.9,2010-08-17
1230,Ian,25,Finance,84738,27,4.5,2010-08-18
1231,David,46,IT,73397,2,3.7,2010-08-19
1232,Alice,24,Marketing,116367,13,2.0,2010-08-20
1233,Bob,53,Finance,111260,32,3.7,2010-08-21
1234,Alice,24,Sales,116619,31,2.2,2010-08-22
1235,Emma,48,Marketing,59816,16,3.9,2010-08-23
1236,Emma,50,Finance,82240,32,4.8,2010-08-24
1237,Grace,53,Finance,46276,32,3.9,2010-08-25
1238,Ian,40,HR,119530,34,4.5,2010-08-26
1239,Ian,42,Sales,63499,11,1.0,2010-08-27
1240,Charlie,26,HR,111635,10,3.9,2010-08-28
1241,Charlie,39,IT,75946,15,4.3,2010-08-29
1242,Charlie,49,HR,95204,17,1.2,2010-08-30
1243,David,43,HR,91886,18,4.5,2010-08-31
1244,Hannah,42,Marketing,111652,9,2.0,2010-09-01
1245,Frank,27,Finance,55563,25,3.7,2010-09-02
1246,Hannah,22,Sales,49847,14,4.2,2010-09-03
1247,Alice,26,HR,66155,25,3.7,2010-09-04
1248,Hannah,33,Sales,119671,22,1.4,2010-09-05
1249,David,47,HR,107278,30,3.4,2010-09-06
1250,Alice,55,IT,58309,20,3.2,2010-09-07
1251,Hannah,35,HR,40619,21,4.6,2010-09-08
1252,David,47,Marketing,90108,32,2.6,2010-09-09
1253,Frank,48,Finance,74707,21,2.3,2010-09-10
1254,Hannah,30,IT,60337,32,4.0,2010-09-11
1255,David,47,HR,106504,30,2.7,2010-09-12
1256,Charlie,43,Sales,87614,12,3.6,2010-09-13
1257,Ian,51,IT,40281,18,3.6,2010-09-14
1258,Charlie,38,IT,67420,21,4.6,2010-09-15
1259,Ian,47,HR,79030,13,3.4,2010-09-16
1260,Bob,57,IT,41058,21,3.0,2010-09-17
1261,Bob,22,Sales,116260,8,1.6,2010-09-18
1262,Bob,29,IT,68404,7,1.5,2010-09-19
1263,Frank,56,Sales,69856,23,1.6,2010-09-20
1264,Charlie,36,HR,49200,32,1.7,2010-09-21
1265,Ian,43,Finance,104178,11,3.6,2010-09-22
1266,David,35,IT,73997,22,4.0,2010-09-23
1267,Alice,47,Finance,65611,22,3.1,2010-09-24
1268,David,49,Sales,81235,25,4.3,2010-09-25
1269,Alice,44,IT,75057,22,5.0,2010-09-26
1270,Emma,35,Marketing,41239,28,4.3,2010-09-27
1271,David,45,Finance,105661,29,3.8,2010-09-28
1272,Hannah,23,IT,85272,13,3.1,2010-09-29
1273,Hannah,47,Finance,101212,18,2.8,2010-09-30
1274,Grace,35,IT,55398,2,1.3,2010-10-01
1275,Charlie,28,HR,96503,29,2.6,2010-10-02
1276,Alice,24,Finance,46638,21,4.6,2010-10-03
1277,Alice,44,Marketing,46570,15,4.2,2010-10-04
1278,Charlie,39,Marketing,108785,27,1.9,2010-10-05
1279,Frank,59,Sales,49110,31,2.9,2010-10-06
1280,Grace,56,IT,119141,15,4.3,2010-10-07
1281,Frank,36,Finance,52115,23,1.3,2010-10-08
1282,Frank,46,Sales,79062,24,2.5,2010-10-09
1283,Frank,58,Finance,62911,13,4.4,2010-10-10
1284,Charlie,49,IT,72556,22,2.6,2010-10-11
1285,Frank,31,Marketing,118131,33,1.3,2010-10-12
1286,Hannah,38,HR,41969,3,3.2,2010-10-13
1287,Bob,43,Marketing,83753,19,4.4,2010-10-14
1288,Emma,47,Sales,44470,23,3.4,2010-10-15
1289,Alice,46,HR,50225,29,1.9,2010-10-16
1290,Alice,38,Sales,63196,30,2.5,2010-10-17
1291,Emma,34,IT,53669,25,2.8,2010-10-18
1292,Charlie,41,HR,77380,8,3.3,2010-10-19
1293,David,46,Sales,88320,16,4.0,2010-10-20
1294,Charlie,25,IT,87414,8,1.4,2010-10-21
1295,Alice,31,Marketing,55577,1,4.6,2010-10-22
1296,Alice,24,IT,95409,5,1.0,2010-10-23
1297,Emma,39,Finance,68625,3,2.5,2010-10-24
1298,Frank,57,IT,64089,1,1.1,2010-10-25
1299,Charlie,43,IT,76487,4,2.6,2010-10-26
1300,Ian,55,Finance,105838,32,3.1,2010-10-27
1301,Emma,29,Sales,90138,34,3.0,2010-10-28
1302,Hannah,40,Sales,82823,25,1.7,2010-10-29
1303,Alice,58,IT,77208,10,3.6,2010-10-30
1304,Emma,27,Finance,94061,21,1.2,2010-10-31
1305,Charlie,47,Finance,70659,27,4.0,2010-11-01
1306,Alice,55,Marketing,71890,27,4.8,2010-11-02
1307,David,27,Sales,119134,2,2.4,2010-11-03
1308,Emma,58,HR,87055,13,3.1,2010-11-04
1309,Grace,54,Sales,59508,9,2.5,2010-11-05
1310,Alice,43,Sales,82287,22,1.0,2010-11-06
1311,Charlie,42,Marketing,118916,26,2.5,2010-11-07
1312,Bob,27,HR,66984,12,4.2,2010-11-08
1313,Ian,27,Marketing,48125,17,3.4,2010-11-09
1314,Jack,25,HR,76059,14,1.4,2010-11-10
1315,Frank,51,IT,109569,14,4.4,2010-11-11
1316,Jack,32,HR,57087,34,3.1,2010-11-12
1317,Charlie,51,Marketing,45704,20,4.4,2010-11-13
1318,Hannah,52,Sales,100576,11,3.3,2010-11-14
1319,Hannah,45,HR,113384,16,3.2,2010-11-15
1320,Bob,30,HR,112460,31,1.4,2010-11-16
1321,Frank,24,Finance,67208,6,1.7,2010-11-17
1322,Grace,52,Sales,106024,19,4.9,2010-11-18
1323,Bob,58,IT,79882,4,1.9,2010-11-19
1324,Jack,57,Marketing,65923,4,4.9,2010-11-20
1325,Bob,45,IT,69165,20,3.1,2010-11-21
1326,Jack,52,Sales,107203,10,1.5,2010-11-22
1327,Alice,27,HR,44114,24,1.4,2010-11-23
1328,Hannah,23,HR,104965,26,1.8,2010-11-24
1329,Alice,41,Sales,76321,21,4.7,2010-11-25
1330,Ian,49,HR,113297,21,2.7,2010-11-26
1331,Frank,32,HR,65426,10,2.6,2010-11-27
1332,Grace,25,HR,57772,4,2.3,2010-11-28
1333,Jack,36,Marketing,43712,20,1.6,2010-11-29
1334,Grace,27,Marketing,41367,17,3.0,2010-11-30
1335,Jack,51,Finance,91924,7,1.5,2010-12-01
1336,Charlie,59,IT,43726,4,4.3,2010-12-02
1337,Bob,23,Sales,67723,29,2.5,2010-12-03
1338,Ian,36,Sales,49108,14,2.5,2010-12-04
1339,Hannah,32,Sales,117714,3,2.9,2010-12-05
1340,Jack,29,Finance,75643,24,2.8,2010-12-06
1341,Grace,47,Marketing,71324,16,5.0,2010-12-07
1342,Ian,26,Finance,48927,4,3.2,2010-12-08
1343,David,27,Sales,62443,24,1.4,2010-12-09
1344,David,47,IT,119973,34,3.4,2010-12-10
1345,Alice,25,HR,103449,30,1.6,2010-12-11
1346,Hannah,40,Marketing,116743,18,1.1,2010-12-12
1347,Charlie,41,Marketing,100233,19,4.9,2010-12-13
1348,Grace,54,Finance,65537,31,4.1,2010-12-14
1349,Bob,41,Marketing,117576,19,4.9,2010-12-15
1350,Bob,33,Sales,62612,19,2.9,2010-12-16
1351,Grace,22,Sales,46471,22,3.1,2010-12-17
1352,Frank,47,Finance,75631,24,1.7,2010-12-18
1353,Charlie,35,Sales,71348,12,2.0,2010-12-19
1354,Ian,59,IT,104732,30,4.4,2010-12-20
1355,Jack,58,Finance,41177,31,2.4,2010-12-21
1356,Frank,32,IT,44760,19,4.3,2010-12-22
1357,Jack,57,HR,72779,30,3.8,2010-12-23
1358,Jack,34,IT,61636,33,1.7,2010-12-24
1359,Frank,24,HR,93551,18,3.0,2010-12-25
1360,Alice,54,HR,51556,28,3.7,2010-12-26
1361,David,27,IT,67598,11,1.9,2010-12-27
1362,Jack,31,Finance,51563,33,4.3,2010-12-28
1363,Frank,26,Sales,86819,17,3.2,2010-12-29
1364,Frank,44,Sales,113770,6,1.7,2010-12-30
1365,Emma,31,HR,66966,4,3.3,2010-12-31
1366,Alice,23,HR,99889,20,5.0,2011-01-01
1367,Hannah,34,Finance,66987,27,1.6,2011-01-02
1368,Emma,23,Marketing,118714,15,4.3,2011-01-03
1369,Emma,41,IT,98348,6,1.8,2011-01-04
1370,Grace,22,HR,64596,14,4.1,2011-01-05
1371,David,58,Sales,73174,11,3.9,2011-01-06
1372,Frank,30,Finance,104106,9,2.2,2011-01-07
1373,David,38,IT,109967,26,2.3,2011-01-08
1374,Charlie,30,Finance,99182,16,4.2,2011-01-09
1375,Grace,32,IT,79310,5,2.8,2011-01-10
1376,Hannah,36,IT,96088,10,3.9,2011-01-11
1377,David,45,HR,48906,3,1.6,2011-01-12
1378,Bob,59,Finance,76914,13,4.4,2011-01-13
1379,Jack,56,Finance,85379,30,3.8,2011-01-14
1380,Charlie,51,Sales,118612,6,4.6,2011-01-15
1381,Alice,52,Sales,77650,17,1.5,2011-01-16
1382,Hannah,26,HR,86881,19,3.4,2011-01-17
1383,Charlie,35,HR,86413,26,3.4,2011-01-18
1384,Jack,32,Marketing,46012,5,2.4,2011-01-19
1385,Grace,30,Sales,90115,29,2.8,2011-01-20
1386,Jack,55,IT,47151,20,1.2,2011-01-21
1387,Emma,33,Finance,97716,21,4.0,2011-01-22
1388,Jack,56,HR,76378,10,3.2,2011-01-23
1389,Emma,56,Finance,82652,5,1.2,2011-01-24
1390,Grace,22,Finance,112430,6,3.7,2011-01-25
1391,Ian,43,Marketing,53467,26,2.9,2011-01-26
1392,Emma,50,Sales,71010,4,1.1,2011-01-27
1393,Alice,29,HR,94691,1,4.9,2011-01-28
1394,Jack,32,Finance,104157,24,4.8,2011-01-29
1395,Jack,58,HR,52289,6,3.1,2011-01-30
1396,Alice,35,IT,84976,31,1.4,2011-01-31
1397,Bob,51,Marketing,83596,20,4.0,2011-02-01
1398,Frank,56,IT,63171,24,3.0,2011-02-02
1399,Ian,42,HR,84139,25,2.2,2011-02-03
1400,Hannah,58,HR,88713,21,3.0,2011-02-04
1401,Emma,26,Sales,69734,30,3.1,2011-02-05
1402,Alice,40,Finance,112588,24,3.3,2011-02-06
1403,Grace,35,Finance,103646,30,2.8,2011-02-07
1404,Emma,47,IT,43654,22,3.4,2011-02-08
1405,Frank,25,Marketing,58743,28,4.7,2011-02-09
1406,Grace,46,Finance,88368,7,2.4,2011-02-10
1407,Charlie,46,Sales,114172,28,3.9,2011-02-11
1408,Jack,39,IT,46441,14,4.6,2011-02-12
1409,Charlie,29,IT,64611,10,2.8,2011-02-13
1410,Emma,35,Sales,52149,16,2.8,2011-02-14
1411,Frank,53,Marketing,99189,16,3.4,2011-02-15
1412,Ian,59,Sales,61675,31,3.4,2011-02-16
1413,Emma,54,Marketing,111031,25,4.2,2011-02-17
1414,Alice,44,Sales,82668,13,2.9,2011-02-18
1415,David,36,Sales,53673,6,5.0,2011-02-19
1416,Emma,54,HR,116666,9,1.2,2011-02-20
1417,Jack,46,IT,105429,20,1.0,2011-02-21
1418,Jack,38,Sales,63669,18,3.6,2011-02-22
1419,Emma,54,Sales,74068,21,2.2,2011-02-23
1420,Grace,23,Finance,49435,4,2.0,2011-02-24
1421,David,35,IT,92249,33,2.2,2011-02-25
1422,Alice,27,Finance,77384,27,2.0,2011-02-26
1423,Emma,27,IT,116153,7,1.1,2011-02-27
1424,Grace,24,Finance,115388,6,4.9,2011-02-28
1425,Jack,28,Sales,71401,15,1.9,2011-03-01
1426,Jack,29,Sales,111831,18,3.9,2011-03-02
1427,Frank,36,HR,74084,32,4.1,2011-03-03
1428,Emma,50,Finance,95826,11,4.7,2011-03-04
1429,David,54,Marketing,76451,20,1.1,2011-03-05
1430,Bob,51,HR,47227,24,4.5,2011-03-06
1431,David,48,Finance,71910,15,3.1,2011-03-07
1432,Jack,57,Finance,76041,7,3.5,2011-03-08
1433,Jack,50,HR,105681,21,3.6,2011-03-09
1434,Charlie,59,Sales,105481,26,4.3,2011-03-10
1435,Jack,54,Finance,108576,14,2.3,2011-03-11
1436,Alice,58,Sales,104174,21,3.9,2011-03-12
1437,Hannah,48,HR,66160,18,3.1,2011-03-13
1438,Emma,54,Sales,57633,5,4.2,2011-03-14
1439,David,25,IT,57014,3,5.0,2011-03-15
1440,Hannah,43,Marketing,89104,23,1.8,2011-03-16
1441,Grace,23,Finance,81621,26,5.0,2011-03-17
1442,Bob,31,Marketing,117231,24,1.4,2011-03-18
1443,Alice,26,Sales,108388,19,1.0,2011-03-19
1444,David,31,Finance,56014,25,1.2,2011-03-20
1445,Hannah,54,Sales,73755,21,2.4,2011-03-21
1446,Bob,59,IT,80390,12,3.5,2011-03-22
1447,Charlie,34,HR,63711,33,1.3,2011-03-23
1448,Alice,52,Finance,97993,4,1.0,2011-03-24
1449,Alice,57,IT,114696,7,4.7,2011-03-25
1450,Charlie,45,IT,67213,22,4.3,2011-03-26
1451,Emma,36,Finance,97784,33,4.2,2011-03-27
1452,Charlie,50,Sales,47421,17,4.5,2011-03-28
1453,Alice,29,IT,57727,24,3.8,2011-03-29
1454,Alice,26,Marketing,44358,34,1.4,2011-03-30
1455,Hannah,50,IT,105108,28,2.6,2011-03-31
1456,Jack,25,Sales,72117,22,3.9,2011-04-01
1457,Bob,33,Sales,71910,17,2.1,2011-04-02
1458,Charlie,23,Marketing,95754,34,3.7,2011-04-03
1459,Bob,48,IT,102438,6,1.1,2011-04-04
1460,Charlie,52,Sales,69371,6,2.2,2011-04-05
1461,Grace,57,Finance,91501,34,3.2,2011-04-06
1462,Alice,57,HR,100946,1,3.5,2011-04-07
1463,Jack,47,HR,78467,10,3.3,2011-04-08
1464,Hannah,48,HR,57625,21,3.8,2011-04-09
1465,Jack,26,IT,73893,5,1.0,2011-04-10
1466,Jack,41,Marketing,116329,2,1.4,2011-04-11
1467,Jack,32,Sales,71007,22,4.5,2011-04-12
1468,Bob,31,Finance,79532,2,3.7,2011-04-13
1469,Charlie,59,Finance,94253,10,1.5,2011-04-14
1470,Ian,27,IT,52323,34,4.4,2011-04-15
1471,Grace,29,HR,113379,16,2.0,2011-04-16
1472,David,44,IT,54210,22,2.9,2011-04-17
1473,Jack,47,Marketing,56456,12,1.6,2011-04-18
1474,Emma,33,Marketing,71367,24,3.8,2011-04-19
1475,Bob,47,Sales,94624,10,3.7,2011-04-20
1476,Hannah,34,Sales,50106,32,1.8,2011-04-21
1477,David,39,Marketing,108008,7,4.5,2011-04-22
1478,Ian,46,Marketing,112240,21,2.6,2011-04-23
1479,Emma,54,Marketing,104315,20,2.2,2011-04-24
1480,Ian,33,IT,109249,26,1.6,2011-04-25
1481,David,57,Marketing,110587,4,2.1,2011-04-26
1482,Jack,25,Finance,50756,22,1.1,2011-04-27
1483,Emma,26,HR,108011,15,3.3,2011-04-28
1484,Ian,58,Marketing,76378,21,4.4,2011-04-29
