ID,Name,Age,Department,Salary,Experience_Years,Performance_Score,Joining_Date
1034,Charlie,30.0,Sales,50000.0,15.0,1.5,2010-02-03
1035,Grace,30.0,IT,,20.0,4.4,2010-02-04
1036,Emma,30.0,hr,50000.0,,4.7,2010-02-05
1037,Ian,,Marketing,70000.0,,2.9,2010-02-06
1038,Grace,35.0,hr,62000.0,,3.4,2010-02-07
1039,Bob,,it,,10.0,4.1,2010-02-08
1040,David,35.0,HR,,5.0,1.7,2010-02-09
1041,Ian,35.0,HR,60000.0,10.0,3.0,2010-02-10
1042,Bob,30.0,it,55000.0,25.0,2.6,2010-02-11
1043,Jack,40.0,hr,60000.0,25.0,1.6,2010-02-12
1044,Ian,25.0,it,,5.0,2.5,2010-02-13
1045,Jack,30.0,Finance,62000.0,20.0,1.3,2010-02-14
1046,Emma,30.0,finance,50000.0,5.0,1.1,2010-02-15
1047,Bob,40.0,it,50000.0,15.0,1.5,2010-02-16
1048,David,25.0,Sales,62000.0,25.0,4.9,2010-02-17
1049,Grace,,it,,1.0,3.2,2010-02-18
1050,Hannah,,HR,50000.0,1.0,4.9,2010-02-19
1051,Charlie,30.0,Sales,50000.0,20.0,2.7,2010-02-20
1052,Alice,25.0,HR,50000.0,15.0,2.2,2010-02-21
1053,David,30.0,IT,55000.0,10.0,3.0,2010-02-22
1054,Bob,35.0,Marketing,55000.0,15.0,2.8,2010-02-23
1055,Hannah,30.0,HR,70000.0,1.0,1.4,2010-02-24
1056,David,30.0,Sales,60000.0,1.0,3.6,2010-02-25
1057,Bob,,IT,62000.0,25.0,1.9,2010-02-26
1058,Frank,,HR,62000.0,15.0,3.5,2010-02-27
1059,Frank,,Finance,62000.0,15.0,3.6,2010-02-28
1060,Jack,35.0,it,70000.0,1.0,1.6,2010-03-01
1061,David,,Marketing,55000.0,10.0,1.2,2010-03-02
1062,Frank,25.0,HR,,20.0,4.1,2010-03-03
1063,Bob,40.0,IT,,,2.8,2010-03-04
1064,Jack,25.0,Finance,70000.0,20.0,1.2,2010-03-05
1065,Bob,25.0,hr,,15.0,5.0,2010-03-06
1066,Jack,,IT,62000.0,20.0,1.2,2010-03-07
1067,David,40.0,it,60000.0,1.0,3.8,2010-03-08
1068,Hannah,40.0,IT,50000.0,1.0,4.9,2010-03-09
1069,Grace,40.0,Finance,55000.0,15.0,2.0,2010-03-10
1070,Ian,35.0,IT,55000.0,15.0,1.6,2010-03-11
1071,Hannah,,Finance,70000.0,,1.5,2010-03-12
1072,Emma,40.0,HR,55000.0,,2.2,2010-03-13
1073,Bob,35.0,finance,62000.0,25.0,1.4,2010-03-14
1074,Emma,30.0,Finance,,15.0,3.8,2010-03-15
1075,Hannah,30.0,Finance,62000.0,10.0,1.2,2010-03-16
1076,Jack,35.0,Marketing,70000.0,20.0,3.0,2010-03-17
1077,Ian,35.0,Finance,62000.0,15.0,5.0,2010-03-18
1078,Ian,,Finance,,5.0,4.3,2010-03-19
1079,Alice,,hr,60000.0,25.0,3.5,2010-03-20
1080,Ian,30.0,finance,70000.0,5.0,2.2,2010-03-21
1081,Grace,40.0,HR,60000.0,1.0,3.5,2010-03-22
1082,Ian,30.0,it,50000.0,,3.1,2010-03-23
1083,Hannah,40.0,Marketing,60000.0,20.0,2.7,2010-03-24
1084,Alice,40.0,hr,50000.0,15.0,1.5,2010-03-25
1085,Hannah,,Sales,50000.0,5.0,4.5,2010-03-26
1086,Hannah,25.0,finance,60000.0,20.0,2.8,2010-03-27
1087,Charlie,25.0,HR,70000.0,1.0,1.8,2010-03-28
1088,Alice,35.0,HR,,,2.5,2010-03-29
1089,Hannah,,Sales,62000.0,10.0,2.7,2010-03-30
1090,Charlie,40.0,it,62000.0,25.0,4.3,2010-03-31
1091,Charlie,25.0,Finance,,20.0,3.9,2010-04-01
1092,Alice,40.0,hr,50000.0,20.0,4.1,2010-04-02
1093,Emma,25.0,IT,50000.0,10.0,1.0,2010-04-03
1094,Jack,25.0,Marketing,70000.0,20.0,2.7,2010-04-04
1095,Grace,25.0,IT,55000.0,1.0,2.9,2010-04-05
1096,Jack,,Sales,60000.0,1.0,1.1,2010-04-06
1097,Ian,30.0,HR,50000.0,10.0,2.0,2010-04-07
1098,Grace,40.0,it,62000.0,25.0,4.0,2010-04-08
1099,Ian,,HR,70000.0,15.0,1.5,2010-04-09
1100,Hannah,,Marketing,60000.0,5.0,3.1,2010-04-10
1101,Bob,,HR,70000.0,15.0,1.9,2010-04-11
1102,Alice,,HR,60000.0,20.0,1.0,2010-04-12
1103,Grace,,Marketing,60000.0,5.0,2.0,2010-04-13
1104,Grace,35.0,hr,,10.0,4.9,2010-04-14
1105,Hannah,40.0,hr,50000.0,10.0,4.2,2010-04-15
1106,Emma,,Marketing,70000.0,25.0,4.8,2010-04-16
1107,Charlie,40.0,it,70000.0,5.0,3.0,2010-04-17
1108,Hannah,35.0,Sales,,1.0,1.4,2010-04-18
1109,Frank,35.0,finance,62000.0,5.0,3.2,2010-04-19
1110,Charlie,40.0,HR,62000.0,20.0,2.8,2010-04-20
1111,Alice,25.0,it,50000.0,1.0,4.4,2010-04-21
1112,Charlie,30.0,HR,50000.0,,1.4,2010-04-22
1113,Emma,25.0,finance,55000.0,,3.0,2010-04-23
1114,Charlie,25.0,Sales,,,1.6,2010-04-24
1115,Alice,25.0,hr,62000.0,10.0,2.3,2010-04-25
1116,Emma,,it,60000.0,5.0,3.9,2010-04-26
1117,Jack,35.0,Finance,70000.0,,2.9,2010-04-27
1118,Grace,25.0,Finance,50000.0,15.0,2.5,2010-04-28
1119,Grace,35.0,finance,70000.0,25.0,2.6,2010-04-29
1120,Ian,40.0,Finance,70000.0,15.0,2.8,2010-04-30
1121,Jack,30.0,hr,55000.0,,4.1,2010-05-01
1122,Jack,40.0,finance,62000.0,25.0,4.6,2010-05-02
1123,Charlie,40.0,hr,50000.0,20.0,4.8,2010-05-03
1124,Grace,,Sales,70000.0,15.0,4.1,2010-05-04
1125,Alice,30.0,HR,50000.0,5.0,2.3,2010-05-05
1126,David,40.0,Sales,60000.0,5.0,3.8,2010-05-06
1127,David,40.0,Sales,55000.0,15.0,2.8,2010-05-07
1128,Emma,30.0,hr,60000.0,,2.0,2010-05-08
1129,Grace,30.0,finance,50000.0,5.0,4.4,2010-05-09
1130,Grace,40.0,finance,50000.0,20.0,1.2,2010-05-10
1131,David,30.0,Finance,62000.0,1.0,4.6,2010-05-11
1132,Grace,40.0,IT,70000.0,,2.8,2010-05-12
1133,Charlie,40.0,HR,70000.0,20.0,3.5,2010-05-13
1134,Frank,,hr,60000.0,25.0,3.6,2010-05-14
1135,Bob,25.0,Finance,55000.0,20.0,4.6,2010-05-15
1136,Jack,40.0,it,,,3.5,2010-05-16
1137,Ian,35.0,IT,70000.0,25.0,3.5,2010-05-17
1138,Emma,25.0,IT,62000.0,,1.3,2010-05-18
1139,Frank,25.0,hr,60000.0,5.0,3.1,2010-05-19
1140,David,25.0,Marketing,60000.0,1.0,1.6,2010-05-20
1141,Jack,,HR,,,3.9,2010-05-21
1142,Grace,40.0,IT,62000.0,,3.0,2010-05-22
1143,Ian,,hr,55000.0,5.0,3.7,2010-05-23
1144,Grace,40.0,hr,62000.0,10.0,1.2,2010-05-24
1145,Alice,,Finance,55000.0,5.0,1.3,2010-05-25
1146,Alice,,it,62000.0,25.0,3.9,2010-05-26
1147,Ian,35.0,Marketing,62000.0,5.0,1.3,2010-05-27
1148,Ian,,HR,50000.0,5.0,1.3,2010-05-28
1149,David,30.0,finance,60000.0,1.0,1.0,2010-05-29
1150,Ian,35.0,Sales,62000.0,5.0,4.8,2010-05-30
1151,Charlie,,it,,,4.0,2010-05-31
1152,Grace,25.0,it,62000.0,1.0,2.4,2010-06-01
1153,Frank,30.0,Finance,70000.0,15.0,2.2,2010-06-02
1154,Hannah,30.0,finance,60000.0,10.0,2.4,2010-06-03
1155,Ian,30.0,IT,70000.0,1.0,4.1,2010-06-04
1156,Emma,35.0,IT,60000.0,25.0,3.6,2010-06-05
1157,Alice,,Finance,70000.0,15.0,1.7,2010-06-06
1158,Charlie,,hr,62000.0,1.0,1.7,2010-06-07
1159,Jack,25.0,IT,62000.0,1.0,1.4,2010-06-08
1160,Hannah,25.0,Marketing,50000.0,10.0,3.6,2010-06-09
1161,Frank,30.0,HR,,,4.1,2010-06-10
1162,Hannah,25.0,it,70000.0,25.0,2.1,2010-06-11
1163,Ian,35.0,it,55000.0,20.0,1.1,2010-06-12
1164,David,,Marketing,50000.0,20.0,1.3,2010-06-13
1165,Alice,30.0,finance,70000.0,1.0,4.9,2010-06-14
1166,Alice,25.0,IT,70000.0,5.0,2.2,2010-06-15
1167,Jack,35.0,it,50000.0,25.0,4.1,2010-06-16
1168,David,35.0,Sales,62000.0,15.0,3.5,2010-06-17
1169,Grace,25.0,finance,70000.0,5.0,2.5,2010-06-18
1170,Bob,,HR,62000.0,5.0,1.8,2010-06-19
1171,Charlie,25.0,HR,50000.0,25.0,1.5,2010-06-20
1172,Alice,30.0,it,62000.0,,3.5,2010-06-21
1173,Emma,25.0,Finance,60000.0,1.0,4.1,2010-06-22
1174,Alice,35.0,finance,55000.0,1.0,3.6,2010-06-23
1175,Hannah,25.0,it,70000.0,1.0,3.1,2010-06-24
1176,Alice,,Finance,,1.0,1.2,2010-06-25
1177,Alice,40.0,it,55000.0,20.0,4.9,2010-06-26
1178,Bob,25.0,Sales,62000.0,1.0,4.2,2010-06-27
1179,Bob,,finance,70000.0,20.0,2.2,2010-06-28
1180,Frank,,hr,62000.0,20.0,4.9,2010-06-29
1181,Grace,35.0,HR,60000.0,,3.4,2010-06-30
1182,Emma,,it,50000.0,1.0,3.3,2010-07-01
1183,Alice,,Sales,70000.0,10.0,4.0,2010-07-02
1184,Alice,,Finance,60000.0,15.0,4.2,2010-07-03
1185,Charlie,,Finance,60000.0,5.0,3.6,2010-07-04
1186,Bob,30.0,HR,70000.0,20.0,1.5,2010-07-05
1187,Emma,30.0,Marketing,62000.0,25.0,2.4,2010-07-06
1188,Jack,35.0,it,,25.0,4.7,2010-07-07
1189,Frank,25.0,finance,60000.0,15.0,1.9,2010-07-08
1190,Grace,,IT,55000.0,25.0,2.5,2010-07-09
1191,David,25.0,Finance,60000.0,10.0,2.7,2010-07-10
1192,Grace,25.0,finance,,25.0,2.8,2010-07-11
1193,Hannah,35.0,finance,62000.0,5.0,3.5,2010-07-12
1194,Alice,,hr,62000.0,5.0,4.8,2010-07-13
1195,Frank,,finance,55000.0,20.0,2.0,2010-07-14
1196,Hannah,40.0,finance,60000.0,1.0,1.5,2010-07-15
1197,Emma,25.0,hr,62000.0,,1.8,2010-07-16
1198,David,25.0,Finance,,10.0,4.5,2010-07-17
1199,Bob,30.0,finance,70000.0,20.0,3.6,2010-07-18
1200,Frank,40.0,Marketing,50000.0,10.0,2.1,2010-07-19
1201,Frank,30.0,Marketing,50000.0,1.0,4.3,2010-07-20
1202,Alice,30.0,Sales,50000.0,25.0,4.4,2010-07-21
1203,Ian,30.0,hr,60000.0,25.0,4.4,2010-07-22
1204,Frank,35.0,Sales,55000.0,,4.7,2010-07-23
1205,Charlie,35.0,hr,62000.0,1.0,2.0,2010-07-24
1206,David,30.0,it,70000.0,20.0,4.0,2010-07-25
1207,David,40.0,it,,,2.8,2010-07-26
1208,Charlie,25.0,finance,70000.0,1.0,4.4,2010-07-27
1209,Jack,40.0,IT,,15.0,3.9,2010-07-28
1210,Charlie,,it,60000.0,5.0,4.1,2010-07-29
1211,Charlie,35.0,IT,50000.0,,3.6,2010-07-30
1212,David,25.0,it,60000.0,,1.7,2010-07-31
1213,Grace,25.0,HR,55000.0,20.0,3.2,2010-08-01
1214,David,,it,55000.0,10.0,4.9,2010-08-02
1215,Ian,,Sales,,15.0,4.7,2010-08-03
1216,Alice,30.0,Finance,62000.0,20.0,1.2,2010-08-04
1217,Hannah,35.0,finance,62000.0,1.0,1.7,2010-08-05
1218,Grace,35.0,Sales,,1.0,1.5,2010-08-06
1219,Bob,40.0,Finance,55000.0,1.0,3.9,2010-08-07
1220,Hannah,30.0,Marketing,55000.0,1.0,4.3,2010-08-08
1221,Alice,30.0,Sales,55000.0,10.0,1.9,2010-08-09
1222,Ian,30.0,Marketing,60000.0,15.0,3.0,2010-08-10
1223,Ian,30.0,IT,55000.0,25.0,4.4,2010-08-11
1224,Bob,35.0,IT,70000.0,5.0,3.9,2010-08-12
1225,Grace,35.0,HR,50000.0,10.0,3.2,2010-08-13
1226,Jack,30.0,it,55000.0,10.0,3.4,2010-08-14
1227,Charlie,40.0,Sales,,25.0,3.0,2010-08-15
1228,Grace,25.0,Marketing,50000.0,25.0,2.2,2010-08-16
1229,Jack,25.0,Finance,60000.0,5.0,3.3,2010-08-17
1230,Ian,40.0,IT,,5.0,3.8,2010-08-18
1231,David,30.0,it,50000.0,25.0,4.5,2010-08-19
1232,Alice,35.0,IT,,1.0,3.5,2010-08-20
1233,Bob,25.0,Finance,60000.0,10.0,4.0,2010-08-21
1234,Alice,,it,70000.0,20.0,1.6,2010-08-22
1235,Emma,,it,60000.0,5.0,2.8,2010-08-23
1236,Emma,40.0,Marketing,60000.0,5.0,1.0,2010-08-24
1237,Grace,30.0,Marketing,,25.0,2.0,2010-08-25
1238,Ian,25.0,Sales,62000.0,15.0,3.9,2010-08-26
1239,Ian,30.0,Sales,55000.0,20.0,5.0,2010-08-27
1240,Charlie,25.0,hr,55000.0,20.0,1.4,2010-08-28
1241,Charlie,40.0,finance,70000.0,5.0,2.6,2010-08-29
1242,Charlie,40.0,hr,70000.0,1.0,4.2,2010-08-30
1243,David,,HR,55000.0,15.0,1.8,2010-08-31
1244,Hannah,30.0,IT,62000.0,20.0,3.2,2010-09-01
1245,Frank,,Sales,55000.0,5.0,3.9,2010-09-02
1246,Hannah,30.0,Marketing,62000.0,20.0,3.5,2010-09-03
1247,Alice,,Finance,70000.0,,1.8,2010-09-04
1248,Hannah,35.0,Marketing,50000.0,15.0,2.4,2010-09-05
1249,David,35.0,IT,,15.0,4.1,2010-09-06
1250,Alice,35.0,hr,70000.0,,3.2,2010-09-07
1251,Hannah,35.0,Marketing,70000.0,10.0,1.0,2010-09-08
1252,David,25.0,finance,60000.0,,4.0,2010-09-09
1253,Frank,35.0,HR,60000.0,25.0,1.1,2010-09-10
1254,Hannah,40.0,IT,60000.0,25.0,4.0,2010-09-11
1255,David,40.0,hr,,5.0,1.8,2010-09-12
1256,Charlie,25.0,finance,60000.0,15.0,4.8,2010-09-13
1257,Ian,35.0,Finance,62000.0,10.0,2.5,2010-09-14
1258,Charlie,35.0,hr,55000.0,10.0,2.3,2010-09-15
1259,Ian,35.0,it,50000.0,20.0,1.6,2010-09-16
1260,Bob,,finance,70000.0,20.0,2.2,2010-09-17
1261,Bob,30.0,finance,62000.0,,4.5,2010-09-18
1262,Bob,,HR,50000.0,10.0,5.0,2010-09-19
1263,Frank,30.0,IT,62000.0,,2.5,2010-09-20
1264,Charlie,35.0,Finance,62000.0,,2.8,2010-09-21
1265,Ian,35.0,HR,70000.0,20.0,3.9,2010-09-22
1266,David,,hr,55000.0,15.0,4.5,2010-09-23
1267,Alice,,HR,60000.0,,3.4,2010-09-24
1268,David,30.0,finance,,1.0,2.6,2010-09-25
1269,Alice,40.0,IT,55000.0,15.0,2.7,2010-09-26
1270,Emma,30.0,Sales,,10.0,3.8,2010-09-27
1271,David,,HR,70000.0,10.0,1.0,2010-09-28
1272,Hannah,,it,70000.0,,3.5,2010-09-29
1273,Hannah,25.0,HR,70000.0,15.0,2.4,2010-09-30
1274,Grace,,hr,50000.0,20.0,4.2,2010-10-01
1275,Charlie,25.0,hr,,20.0,1.4,2010-10-02
1276,Alice,40.0,Finance,55000.0,25.0,3.4,2010-10-03
1277,Alice,30.0,hr,55000.0,10.0,2.9,2010-10-04
1278,Charlie,30.0,Marketing,62000.0,5.0,3.6,2010-10-05
1279,Frank,25.0,IT,62000.0,25.0,1.3,2010-10-06
1280,Grace,30.0,IT,62000.0,20.0,3.3,2010-10-07
1281,Frank,,Sales,70000.0,15.0,3.2,2010-10-08
1282,Frank,35.0,Sales,55000.0,20.0,3.2,2010-10-09
1283,Frank,25.0,IT,,15.0,3.4,2010-10-10
1284,Charlie,30.0,it,70000.0,25.0,3.7,2010-10-11
1285,Frank,25.0,Sales,50000.0,10.0,4.2,2010-10-12
1286,Hannah,25.0,Finance,62000.0,20.0,2.1,2010-10-13
1287,Bob,35.0,hr,70000.0,,4.3,2010-10-14
1288,Emma,,IT,70000.0,15.0,3.0,2010-10-15
1289,Alice,25.0,finance,50000.0,10.0,1.3,2010-10-16
1290,Alice,30.0,Sales,60000.0,5.0,1.2,2010-10-17
1291,Emma,40.0,IT,55000.0,15.0,2.3,2010-10-18
1292,Charlie,25.0,Marketing,,25.0,4.1,2010-10-19
1293,David,25.0,HR,60000.0,5.0,3.8,2010-10-20
1294,Charlie,35.0,hr,62000.0,5.0,4.2,2010-10-21
1295,Alice,,IT,70000.0,1.0,3.1,2010-10-22
1296,Alice,40.0,HR,50000.0,20.0,2.8,2010-10-23
1297,Emma,30.0,Sales,50000.0,15.0,1.6,2010-10-24
1298,Frank,40.0,HR,55000.0,5.0,2.3,2010-10-25
1299,Charlie,30.0,hr,60000.0,1.0,2.7,2010-10-26
1300,Ian,,IT,55000.0,25.0,1.4,2010-10-27
1301,Emma,30.0,Marketing,70000.0,10.0,1.9,2010-10-28
1302,Hannah,35.0,it,55000.0,,3.4,2010-10-29
1303,Alice,35.0,Sales,,,3.9,2010-10-30
1304,Emma,35.0,IT,50000.0,15.0,5.0,2010-10-31
1305,Charlie,35.0,hr,50000.0,5.0,4.7,2010-11-01
1306,Alice,40.0,Sales,62000.0,,3.6,2010-11-02
1307,David,,Finance,62000.0,20.0,2.7,2010-11-03
1308,Emma,30.0,HR,70000.0,,3.5,2010-11-04
1309,Grace,30.0,it,,,4.1,2010-11-05
1310,Alice,35.0,hr,60000.0,,1.5,2010-11-06
1311,Charlie,35.0,Finance,55000.0,1.0,2.6,2010-11-07
1312,Bob,25.0,finance,70000.0,5.0,4.4,2010-11-08
1313,Ian,,IT,62000.0,20.0,2.5,2010-11-09
1314,Jack,40.0,Marketing,55000.0,5.0,3.3,2010-11-10
1315,Frank,30.0,Sales,62000.0,15.0,3.4,2010-11-11
1316,Jack,25.0,HR,55000.0,15.0,1.7,2010-11-12
1317,Charlie,25.0,Sales,60000.0,15.0,2.4,2010-11-13
1318,Hannah,30.0,it,70000.0,25.0,2.3,2010-11-14
1319,Hannah,40.0,IT,55000.0,,1.1,2010-11-15
1320,Bob,25.0,Sales,,25.0,1.1,2010-11-16
1321,Frank,25.0,HR,50000.0,1.0,4.3,2010-11-17
1322,Grace,,IT,,15.0,2.1,2010-11-18
1323,Bob,40.0,Sales,,20.0,3.1,2010-11-19
1324,Jack,25.0,Marketing,50000.0,5.0,2.2,2010-11-20
1325,Bob,40.0,hr,,,4.8,2010-11-21
1326,Jack,30.0,IT,55000.0,10.0,2.0,2010-11-22
1327,Alice,35.0,hr,55000.0,20.0,2.7,2010-11-23
1328,Hannah,25.0,finance,55000.0,,4.5,2010-11-24
1329,Alice,,IT,50000.0,25.0,4.4,2010-11-25
1330,Ian,30.0,Marketing,,25.0,1.7,2010-11-26
1331,Frank,40.0,hr,50000.0,20.0,4.2,2010-11-27
1332,Grace,30.0,Finance,55000.0,25.0,2.8,2010-11-28
1333,Jack,25.0,HR,,15.0,2.9,2010-11-29
1334,Grace,40.0,Finance,,1.0,1.5,2010-11-30
1335,Jack,35.0,Sales,62000.0,5.0,1.3,2010-12-01
1336,Charlie,30.0,Marketing,62000.0,1.0,3.9,2010-12-02
1337,Bob,25.0,Finance,60000.0,,3.0,2010-12-03
1338,Ian,,IT,70000.0,5.0,2.7,2010-12-04
1339,Hannah,40.0,Sales,62000.0,5.0,3.9,2010-12-05
1340,Jack,30.0,Sales,50000.0,1.0,4.1,2010-12-06
1341,Grace,30.0,Finance,62000.0,20.0,1.6,2010-12-07
1342,Ian,35.0,finance,60000.0,5.0,3.4,2010-12-08
1343,David,35.0,Finance,,1.0,1.5,2010-12-09
1344,David,,finance,60000.0,5.0,4.0,2010-12-10
1345,Alice,,Marketing,,10.0,3.6,2010-12-11
1346,Hannah,25.0,HR,,20.0,4.8,2010-12-12
1347,Charlie,25.0,Finance,70000.0,15.0,1.3,2010-12-13
1348,Grace,,it,62000.0,5.0,1.2,2010-12-14
1349,Bob,,finance,50000.0,10.0,2.1,2010-12-15
1350,Bob,40.0,Finance,50000.0,15.0,2.0,2010-12-16
1351,Grace,35.0,hr,55000.0,15.0,2.0,2010-12-17
1352,Frank,25.0,IT,,,4.6,2010-12-18
1353,Charlie,35.0,it,50000.0,5.0,2.0,2010-12-19
1354,Ian,35.0,it,70000.0,1.0,2.1,2010-12-20
1355,Jack,,finance,,5.0,4.0,2010-12-21
1356,Frank,40.0,hr,70000.0,10.0,2.8,2010-12-22
1357,Jack,30.0,hr,50000.0,15.0,4.1,2010-12-23
1358,Jack,40.0,Sales,50000.0,5.0,1.3,2010-12-24
1359,Frank,40.0,finance,55000.0,1.0,3.0,2010-12-25
1360,Alice,35.0,HR,50000.0,,1.1,2010-12-26
1361,David,40.0,IT,,5.0,1.3,2010-12-27
1362,Jack,25.0,Marketing,,20.0,4.6,2010-12-28
1363,Frank,35.0,it,,,1.6,2010-12-29
1364,Frank,25.0,Marketing,55000.0,1.0,3.1,2010-12-30
1365,Emma,30.0,Finance,55000.0,10.0,2.6,2010-12-31
1366,Alice,35.0,Finance,50000.0,15.0,2.4,2011-01-01
1367,Hannah,30.0,Marketing,60000.0,5.0,4.6,2011-01-02
1368,Emma,35.0,Finance,60000.0,1.0,1.1,2011-01-03
1369,Emma,,HR,55000.0,,3.7,2011-01-04
1370,Grace,40.0,hr,50000.0,20.0,4.9,2011-01-05
1371,David,,Finance,60000.0,1.0,3.2,2011-01-06
1372,Frank,30.0,Sales,50000.0,25.0,4.7,2011-01-07
1373,David,40.0,Finance,50000.0,20.0,1.2,2011-01-08
1374,Charlie,35.0,IT,50000.0,,2.7,2011-01-09
1375,Grace,40.0,HR,62000.0,10.0,2.0,2011-01-10
1376,Hannah,25.0,IT,,15.0,3.9,2011-01-11
1377,David,40.0,IT,50000.0,,4.9,2011-01-12
1378,Bob,25.0,Sales,62000.0,10.0,2.0,2011-01-13
1379,Jack,40.0,HR,55000.0,5.0,3.6,2011-01-14
1380,Charlie,25.0,HR,60000.0,1.0,1.8,2011-01-15
1381,Alice,30.0,finance,,25.0,3.3,2011-01-16
1382,Hannah,,HR,60000.0,20.0,2.9,2011-01-17
1383,Charlie,35.0,HR,,20.0,4.9,2011-01-18
1384,Jack,40.0,HR,60000.0,1.0,3.4,2011-01-19
1385,Grace,,Sales,,25.0,2.4,2011-01-20
1386,Jack,35.0,Finance,60000.0,1.0,1.5,2011-01-21
1387,Emma,35.0,finance,60000.0,5.0,1.6,2011-01-22
1388,Jack,25.0,IT,60000.0,10.0,1.9,2011-01-23
1389,Emma,30.0,HR,60000.0,,2.0,2011-01-24
1390,Grace,30.0,it,55000.0,20.0,4.4,2011-01-25
1391,Ian,,Finance,50000.0,5.0,3.2,2011-01-26
1392,Emma,30.0,Finance,70000.0,10.0,3.1,2011-01-27
1393,Alice,40.0,IT,62000.0,5.0,1.5,2011-01-28
1394,Jack,30.0,Sales,70000.0,25.0,4.4,2011-01-29
1395,Jack,,Marketing,70000.0,20.0,3.9,2011-01-30
1396,Alice,30.0,Marketing,,,1.3,2011-01-31
1397,Bob,40.0,Finance,50000.0,1.0,3.8,2011-02-01
1398,Frank,25.0,hr,,1.0,3.2,2011-02-02
1399,Ian,,hr,50000.0,10.0,1.3,2011-02-03
1400,Hannah,25.0,IT,50000.0,,2.8,2011-02-04
1401,Emma,25.0,Marketing,60000.0,15.0,2.9,2011-02-05
1402,Alice,25.0,Finance,55000.0,25.0,1.7,2011-02-06
1403,Grace,35.0,Sales,60000.0,10.0,4.8,2011-02-07
1404,Emma,35.0,Marketing,55000.0,15.0,4.4,2011-02-08
1405,Frank,25.0,Finance,,5.0,3.7,2011-02-09
1406,Grace,,Finance,55000.0,25.0,2.8,2011-02-10
1407,Charlie,40.0,HR,,5.0,2.6,2011-02-11
1408,Jack,40.0,Sales,70000.0,,3.6,2011-02-12
1409,Charlie,30.0,HR,70000.0,20.0,3.2,2011-02-13
1410,Emma,,IT,55000.0,25.0,1.2,2011-02-14
1411,Frank,35.0,HR,55000.0,15.0,3.1,2011-02-15
1412,Ian,25.0,it,,20.0,4.2,2011-02-16
1413,Emma,30.0,HR,60000.0,1.0,2.8,2011-02-17
1414,Alice,40.0,it,,15.0,1.2,2011-02-18
1415,David,35.0,Marketing,60000.0,10.0,4.1,2011-02-19
1416,Emma,35.0,hr,70000.0,1.0,1.8,2011-02-20
1417,Jack,25.0,finance,50000.0,1.0,2.0,2011-02-21
1418,Jack,40.0,finance,55000.0,10.0,1.7,2011-02-22
1419,Emma,,Finance,60000.0,25.0,2.3,2011-02-23
1420,Grace,35.0,finance,,1.0,4.0,2011-02-24
1421,David,25.0,it,70000.0,,3.1,2011-02-25
1422,Alice,,Sales,60000.0,15.0,1.8,2011-02-26
1423,Emma,40.0,HR,,20.0,4.5,2011-02-27
1424,Grace,35.0,it,55000.0,1.0,4.5,2011-02-28
1425,Jack,,Sales,55000.0,15.0,4.5,2011-03-01
1426,Jack,,hr,62000.0,5.0,2.0,2011-03-02
1427,Frank,,finance,50000.0,15.0,2.8,2011-03-03
